RedFighter,BlueFighter,RedFighter_KD,BlueFighter_KD,RedFighter_STR,BlueFighter_STR,RedFighter_TD,BlueFighter_TD,RedFighter_SUB,BlueFighter_SUB,Event,Date,Location,WL,Winner,Victory_Result,Victory_Method,Round,Time,Weight_Class,Title,Fight_Bonus,Perf_Bonus,Sub_Bonus,KO_Bonus,Red_reach_cm,Red_stance,Red_dob,Red_ss_landed_per_minute,Red_ss_accuracy,Red_ss_absorbed_per_min,Red_ss_defence,Red_avg_td_per_15,Red_td_accuracy,Red_td_defence,Red_avg_sub_attempt_per_15,Blue_reach_cm,Blue_stance,Blue_dob,Blue_ss_landed_per_minute,Blue_ss_accuracy,Blue_ss_absorbed_per_min,Blue_ss_defence,Blue_avg_td_per_15,Blue_td_accuracy,Blue_td_defence,Blue_avg_sub_attempt_per_15
Jake Matthews,Neil Magny,0,0,18,31,0,3,3,1,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Neil Magny,SUBD'Arce,SUBD'Arce Choke,3,3:08,Welterweight,0.0,0.0,0.0,0.0,0.0,185.42,Orthodox,1994-08-19,3.34,43.0,2.62,60.0,1.44,41.0,64.0,3.34,203.2,Orthodox,1987-08-03,3.41,46.0,2.44,51.0,2.18,39.0,55.0,3.41
Charlie Campbell,Tom Nolan,0,0,15,26,0,1,0,1,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Tom Nolan,SUBRear,SUBRear Naked Choke,1,4:08,Lightweight,0.0,0.0,1.0,0.0,0.0,182.88,Orthodox,1995-07-03,5.23,51.0,4.17,55.0,2.45,36.0,62.0,5.23,185.42,Southpaw,2000-03-08,5.87,45.0,4.73,48.0,0.74,22.0,71.0,5.87
Rodolfo Bellato,Navajo Stirling,0,0,43,81,2,1,0,0,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Navajo Stirling,U-DEC,U-DEC,3,5:00,Light Heavyweight,0.0,0.0,0.0,0.0,0.0,190.5,Orthodox,1996-02-05,5.13,59.0,5.86,46.0,1.44,35.0,94.0,5.13,200.66,Orthodox,1997-11-07,6.13,52.0,2.6,58.0,1.15,28.0,75.0,6.13
Cam Rowston,Andre Petroski,1,0,12,7,0,0,0,0,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Cam Rowston,KO/TKOPunches,KO/TKOPunches,1,2:41,Middleweight,0.0,0.0,0.0,0.0,0.0,198.12,Orthodox,1995-01-19,3.39,45.0,2.37,49.0,0.73,50.0,28.0,3.39,185.42,Switch,1991-06-12,2.81,49.0,2.79,53.0,3.15,51.0,86.0,2.81
Jamie Mullarkey,Rolando Bedoya,0,0,43,46,3,0,0,1,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Jamie Mullarkey,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1994-08-17,4.2,46.0,4.34,54.0,2.4,29.0,78.0,4.2,187.96,Orthodox,1997-01-13,6.23,47.0,5.5,52.0,0.0,0.0,75.0,6.23
Josias Musasa,Colby Thicknesse,0,0,43,62,1,2,0,1,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Colby Thicknesse,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0,187.96,Southpaw,1998-10-10,3.19,45.0,4.39,36.0,0.9,50.0,81.0,3.19,175.26,Orthodox,1999-06-23,3.33,42.0,2.8,50.0,1.0,9.0,50.0,3.33
Michelle Montague,Luana Carolina,0,0,41,48,5,0,0,1,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Michelle Montague,U-DEC,U-DEC,3,5:00,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0,172.72,Southpaw,1993-11-25,2.73,46.0,3.2,41.0,5.0,71.0,0.0,2.73,175.26,Orthodox,1993-06-11,4.65,51.0,3.46,51.0,0.3,37.0,68.0,4.65
Elisha Ellison,Brando Pericic,0,0,3,29,0,0,0,0,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Brando Pericic,KO/TKOPunches,KO/TKOPunches,1,1:55,Heavyweight,0.0,0.0,1.0,0.0,0.0,198.12,Orthodox,1997-03-05,1.57,33.0,15.13,40.0,0.0,0.0,0.0,1.57,200.66,Orthodox,1994-08-03,15.13,59.0,1.57,66.0,0.0,0.0,100.0,15.13
Alexia Thainara,Loma Lookboonmee,0,0,44,30,5,0,1,0,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Alexia Thainara,U-DEC,U-DEC,3,5:00,Women's Strawweight,0.0,0.0,0.0,0.0,0.0,170.18,Orthodox,1995-11-20,4.52,40.0,2.46,65.0,3.91,60.0,100.0,4.52,154.94,Orthodox,1996-01-18,3.67,55.0,2.52,53.0,1.81,50.0,68.0,3.67
Diego Lopes,Jean Silva,1,0,74,43,3,0,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Diego Lopes,KO/TKOPunches,KO/TKOPunches,2,4:48,Featherweight,0.0,1.0,1.0,0.0,0.0,182.88,Orthodox,1994-12-30,4.1,48.0,4.72,47.0,0.79,55.0,67.0,4.1,175.26,Orthodox,1996-12-27,4.79,51.0,4.69,54.0,0.5,50.0,78.0,4.79
David Martinez,Rob Font,0,0,62,49,0,0,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,David Martinez,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0,170.18,Orthodox,1998-08-03,4.85,47.0,2.95,68.0,0.0,0.0,100.0,4.85,180.34,Orthodox,1987-06-25,5.36,45.0,3.7,57.0,0.74,30.0,43.0,5.36
Jared Gordon,Rafa Garcia,0,1,65,91,1,2,0,2,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Rafa Garcia,KO/TKOElbows,KO/TKOElbows,3,2:27,Lightweight,0.0,0.0,0.0,0.0,0.0,172.72,Orthodox,1988-09-06,5.64,53.0,4.14,55.0,1.78,32.0,60.0,5.64,177.8,Orthodox,1994-08-05,4.31,45.0,4.54,61.0,3.13,44.0,76.0,4.31
Kelvin Gastelum,Dustin Stoltzfus,1,0,57,64,0,1,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Kelvin Gastelum,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0,180.34,Southpaw,1991-10-24,3.67,42.0,3.53,57.0,1.01,34.0,60.0,3.67,190.5,Orthodox,1991-11-15,3.3,45.0,3.23,47.0,2.08,37.0,46.0,3.3
Diego Ferreira,Alexander Hernandez,0,1,23,30,0,0,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Alexander Hernandez,KO/TKOPunches,KO/TKOPunches,2,3:46,Lightweight,0.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1985-01-18,4.7,39.0,3.46,55.0,0.82,30.0,57.0,4.7,182.88,Orthodox,1992-10-01,4.31,40.0,4.5,59.0,1.14,36.0,73.0,4.31
Quang Le,Santiago Luna,0,2,12,15,0,0,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Santiago Luna,KO/TKOPunch,KO/TKOPunch,1,2:48,Bantamweight,0.0,0.0,1.0,0.0,0.0,177.8,Orthodox,1991-10-18,2.82,38.0,4.59,49.0,2.9,33.0,100.0,2.82,187.96,Orthodox,2004-08-06,5.36,37.0,4.29,50.0,0.0,0.0,100.0,5.36
Dusko Todorovic,Jose Daniel Medina,0,0,16,9,2,0,1,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Dusko Todorovic,SUBRear,SUBRear Naked Choke,1,4:21,Middleweight,0.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1994-05-19,4.73,57.0,4.4,48.0,1.77,21.0,42.0,4.73,187.96,Orthodox,1991-05-17,2.16,36.0,5.07,46.0,0.4,33.0,27.0,2.16
Claudio Puelles,Joaquim Silva,0,1,21,25,4,0,0,1,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Joaquim Silva,S-DEC,S-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,182.88,Southpaw,1996-04-21,1.54,46.0,2.62,48.0,3.29,33.0,60.0,1.54,175.26,Southpaw,1989-02-05,3.43,43.0,4.17,53.0,0.34,50.0,70.0,3.43
Tatiana Suarez,Amanda Lemos,0,0,20,23,3,0,0,1,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Tatiana Suarez,U-DEC,U-DEC,3,5:00,Women's Strawweight,0.0,0.0,0.0,0.0,0.0,167.64,Southpaw,1990-12-19,2.95,60.0,1.58,45.0,4.41,43.0,80.0,2.95,165.1,Southpaw,1987-05-22,2.75,55.0,3.24,45.0,1.02,62.0,64.0,2.75
Luis Gurule,Jesus Aguilar,0,0,65,85,0,1,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Jesus Aguilar,U-DEC,U-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0,162.56,Orthodox,1993-11-16,4.93,42.0,4.53,61.0,0.41,9.0,56.0,4.93,157.48,Orthodox,1996-03-13,2.65,40.0,1.85,62.0,1.64,31.0,48.0,2.65
Sedriques Dumas,Zachary Reese,0,0,3,2,0,0,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",NCNC,Zachary Reese,CNC,CNC,1,0:51,Middleweight,0.0,0.0,0.0,0.0,0.0,200.66,Orthodox,1995-08-06,2.12,44.0,2.5,56.0,1.23,35.0,40.0,2.12,195.58,Switch,1994-03-24,4.24,53.0,3.0,45.0,2.82,58.0,57.0,4.24
Alessandro Costa,Alden Coria,0,0,12,42,1,2,2,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Alden Coria,KO/TKOPunches,KO/TKOPunches,3,0:47,Flyweight,0.0,0.0,0.0,0.0,0.0,170.18,Orthodox,1996-01-28,3.64,44.0,3.57,57.0,0.46,16.0,83.0,3.64,170.18,Orthodox,1998-04-24,3.89,44.0,1.11,78.0,2.78,100.0,75.0,3.89
Montse Rendon,Alice Pereira,0,0,45,37,0,0,1,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Montse Rendon,S-DEC,S-DEC,3,5:00,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0,172.72,Orthodox,1989-03-16,3.09,28.0,3.42,59.0,2.0,37.0,100.0,3.09,180.34,Orthodox,2005-12-20,2.47,31.0,3.0,72.0,0.0,0.0,100.0,2.47
Daniil Donchenko,Rodrigo Sezinando,1,0,39,10,1,1,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Daniil Donchenko,KO/TKOPunches,KO/TKOPunches,1,4:27,Welterweight,1.0,0.0,0.0,0.0,0.0,180.34,Orthodox,2001-08-04,8.76,57.0,2.25,72.0,3.37,33.0,75.0,8.76,180.34,Orthodox,1997-12-11,2.25,27.0,8.76,42.0,3.37,25.0,66.0,2.25
Nassourdine Imavov,Caio Borralho,0,0,81,66,0,0,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Nassourdine Imavov,U-DEC,U-DEC,5,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0,190.5,Orthodox,1996-03-01,4.28,54.0,3.17,58.0,0.74,32.0,81.0,4.28,190.5,Southpaw,1993-01-16,3.44,56.0,2.5,60.0,1.28,48.0,76.0,3.44
Benoit Saint Denis,Mauricio Ruffy,0,0,17,5,3,0,1,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Benoit Saint Denis,SUBRear,SUBRear Naked Choke,2,2:56,Lightweight,0.0,0.0,0.0,0.0,0.0,185.42,Southpaw,1995-12-18,5.05,55.0,4.19,42.0,4.35,37.0,70.0,5.05,190.5,Orthodox,1996-06-17,3.84,57.0,4.16,60.0,0.0,0.0,84.0,3.84
Modestas Bukauskas,Paul Craig,0,0,22,6,0,0,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Modestas Bukauskas,KO/TKOElbow,KO/TKOElbow,1,5:00,Light Heavyweight,0.0,0.0,0.0,0.0,0.0,193.04,Switch,1994-02-10,3.32,43.0,3.93,51.0,0.3,66.0,80.0,3.32,193.04,Orthodox,1987-11-27,2.5,45.0,3.04,43.0,1.43,18.0,35.0,2.5
Mason Jones,Bolaji Oki,1,1,57,38,2,0,1,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Mason Jones,KO/TKOElbows,KO/TKOElbows,2,3:18,Lightweight,0.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1995-04-26,5.71,41.0,4.47,50.0,4.17,55.0,81.0,5.71,185.42,Orthodox,1995-11-15,6.59,44.0,5.15,61.0,1.01,60.0,66.0,6.59
Rhys McKee,Axel Sola,0,1,33,45,0,1,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Axel Sola,KO/TKOPunch,KO/TKOPunch,3,2:02,Welterweight,0.0,0.0,0.0,0.0,0.0,198.12,Orthodox,1995-09-10,4.71,40.0,7.15,47.0,0.0,0.0,47.0,4.71,187.96,Southpaw,1997-09-17,3.74,42.0,2.74,75.0,1.25,25.0,0.0,3.74
William Gomis,Robert Ruchala,0,0,49,34,2,2,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,William Gomis,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0,185.42,Southpaw,1997-06-13,3.48,49.0,2.76,61.0,0.86,38.0,72.0,3.48,182.88,Switch,1998-05-15,2.27,35.0,3.27,57.0,2.0,33.0,0.0,2.27
Brendson Ribeiro,Oumar Sy,0,0,5,17,0,2,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Oumar Sy,KO/TKOPunches,KO/TKOPunches,1,4:42,Light Heavyweight,0.0,0.0,0.0,0.0,0.0,205.74,Orthodox,1996-09-08,3.06,42.0,4.0,53.0,0.9,42.0,18.0,3.06,210.82,Orthodox,1995-11-21,3.67,48.0,1.72,70.0,2.73,36.0,100.0,3.67
Marcin Tybura,Ante Delija,0,1,4,13,0,0,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Ante Delija,KO/TKOPunches,KO/TKOPunches,1,2:03,Heavyweight,0.0,0.0,0.0,0.0,0.0,198.12,Orthodox,1985-11-09,3.59,48.0,3.33,55.0,1.38,33.0,75.0,3.59,198.12,Orthodox,1990-08-07,6.34,46.0,1.95,55.0,0.0,0.0,0.0,6.34
Kaue Fernandes,Harry Hardwick,1,0,24,8,0,0,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Kaue Fernandes,KO/TKOKick,KO/TKOKick,1,3:21,Lightweight,0.0,0.0,0.0,0.0,0.0,185.42,Orthodox,1995-03-17,4.28,55.0,1.42,62.0,1.18,100.0,76.0,4.28,180.34,Switch,1994-09-29,2.39,34.0,7.16,40.0,0.0,0.0,0.0,2.39
Sam Patterson,Trey Waters,0,0,25,18,0,0,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Sam Patterson,KO/TKOPunches,KO/TKOPunches,1,3:01,Welterweight,0.0,0.0,0.0,0.0,0.0,198.12,Orthodox,1996-04-30,3.89,43.0,3.93,49.0,1.39,100.0,33.0,3.89,195.58,Orthodox,1995-02-21,6.39,44.0,5.83,55.0,0.4,33.0,85.0,6.39
Brad Tavares,Robert Bryczek,0,1,42,68,1,1,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Robert Bryczek,KO/TKOPunches,KO/TKOPunches,3,1:43,Middleweight,0.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1987-12-21,3.42,43.0,3.36,54.0,0.73,26.0,81.0,3.42,190.5,Orthodox,1990-07-04,3.74,36.0,4.08,59.0,0.56,100.0,85.0,3.74
Andreas Gustafsson,Rinat Fakhretdinov,0,0,5,23,0,0,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Rinat Fakhretdinov,KO/TKOPunches,KO/TKOPunches,1,0:54,Welterweight,0.0,0.0,0.0,0.0,0.0,185.42,Orthodox,1991-02-20,5.82,71.0,3.63,45.0,6.19,58.0,100.0,5.82,187.96,Orthodox,1991-09-28,5.03,52.0,3.61,54.0,3.91,34.0,91.0,5.03
Sam Hughes,Shauna Bannon,0,0,21,13,2,0,1,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Sam Hughes,SUBRear,SUBRear Naked Choke,2,1:58,Women's Strawweight,0.0,0.0,0.0,0.0,0.0,162.56,Orthodox,1992-06-28,4.34,46.0,4.44,58.0,1.23,35.0,60.0,4.34,165.1,Switch,1993-10-23,4.32,43.0,3.75,45.0,0.0,0.0,40.0,4.32
Johnny Walker,Zhang Mingyang,1,0,50,20,0,0,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Johnny Walker,KO/TKOPunches,KO/TKOPunches,2,2:37,Light Heavyweight,0.0,0.0,1.0,0.0,0.0,208.28,Orthodox,1992-03-30,4.06,55.0,3.09,45.0,0.42,60.0,57.0,4.06,190.5,Orthodox,1998-08-16,7.71,60.0,5.33,43.0,0.0,0.0,75.0,7.71
Aljamain Sterling,Brian Ortega,0,0,124,55,3,0,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Aljamain Sterling,U-DEC,U-DEC,5,5:00,Catch Weight,0.0,0.0,0.0,0.0,0.0,180.34,Orthodox,1989-07-31,4.45,52.0,2.21,59.0,2.45,30.0,44.0,4.45,175.26,Switch,1991-02-21,3.84,37.0,6.38,49.0,0.93,25.0,54.0,3.84
Sergei Pavlovich,Waldo Cortes-Acosta,0,0,61,45,0,0,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Sergei Pavlovich,U-DEC,U-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0,213.36,Southpaw,1992-05-13,4.43,44.0,3.62,55.0,0.48,25.0,75.0,4.43,198.12,Orthodox,1991-10-03,5.61,48.0,3.51,55.0,0.37,50.0,71.0,5.61
Kevin Borjas,Sumudaerji,0,0,16,73,0,0,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Sumudaerji,U-DEC,U-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0,172.72,Orthodox,1997-12-06,4.19,44.0,5.74,49.0,0.0,0.0,71.0,4.19,182.88,Southpaw,1996-01-20,4.48,52.0,2.39,60.0,0.16,11.0,71.0,4.48
Kiefer Crosbie,Taiyilake Nueraji,0,0,2,27,0,1,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Taiyilake Nueraji,KO/TKOElbows,KO/TKOElbows,1,3:33,Welterweight,0.0,0.0,0.0,0.0,0.0,177.8,Switch,1990-04-05,4.46,64.0,5.8,46.0,0.0,0.0,40.0,4.46,190.5,Southpaw,2001-01-12,9.82,53.0,5.01,58.0,1.47,33.0,100.0,9.82
Gauge Young,Maheshate,0,0,112,66,3,0,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Gauge Young,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,177.8,Orthodox,2000-07-14,5.71,51.0,5.82,48.0,1.0,30.0,71.0,5.71,180.34,Orthodox,1999-12-01,3.96,31.0,5.96,51.0,0.0,0.0,47.0,3.96
Lone'er Kavanagh,Charles Johnson,0,1,59,44,1,1,1,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Charles Johnson,KO/TKOPunch,KO/TKOPunch,2,4:35,Flyweight,0.0,0.0,1.0,0.0,0.0,170.18,Orthodox,1999-06-09,4.29,49.0,3.69,58.0,1.79,50.0,88.0,4.29,177.8,Switch,1991-01-10,4.73,49.0,3.78,56.0,0.56,20.0,66.0,4.73
Rongzhu,Austin Hubbard,0,0,101,75,0,2,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Rongzhu,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,180.34,Orthodox,2000-03-07,6.02,51.0,5.44,52.0,1.35,62.0,84.0,6.02,180.34,Orthodox,1991-12-22,3.97,42.0,4.1,55.0,1.63,28.0,68.0,3.97
Michel Pereira,Kyle Daukaus,0,1,2,5,0,0,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Kyle Daukaus,KO/TKOElbows,KO/TKOElbows,1,0:43,Middleweight,0.0,0.0,1.0,0.0,0.0,185.42,Orthodox,1993-10-06,4.49,52.0,4.35,51.0,1.13,52.0,76.0,4.49,193.04,Southpaw,1993-02-27,3.25,53.0,2.93,42.0,2.11,25.0,82.0,3.25
Westin Wilson,Yizha,0,2,0,13,0,0,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Yizha,KO/TKOPunches,KO/TKOPunches,1,0:37,Featherweight,0.0,0.0,0.0,0.0,0.0,185.42,Southpaw,1989-01-24,1.57,31.0,6.71,30.0,1.57,16.0,33.0,1.57,180.34,Orthodox,1997-01-08,2.97,45.0,2.81,47.0,3.51,30.0,54.0,2.97
SuYoung You,Xiao Long,0,0,58,68,0,0,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,SuYoung You,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0,165.1,Orthodox,1995-12-11,2.28,46.0,1.96,70.0,3.8,47.0,66.0,2.28,177.8,Orthodox,1998-04-13,5.25,46.0,4.2,50.0,0.69,25.0,79.0,5.25
Uran Satybaldiev,Diyar Nurgozhay,1,0,2,7,0,1,2,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Uran Satybaldiev,SUBEzekiel,SUBEzekiel Choke,1,2:45,Light Heavyweight,0.0,0.0,1.0,0.0,0.0,200.66,Orthodox,1994-08-10,2.14,25.0,3.66,44.0,0.0,0.0,50.0,2.14,187.96,Southpaw,1997-04-22,3.04,50.0,2.99,61.0,2.54,100.0,100.0,3.04
Khamzat Chimaev,Dricus Du Plessis,0,0,37,13,12,1,0,1,UFC 319: Du Plessis vs. Chimaev,"August 16, 2025","Chicago, Illinois, USA",WIN,Khamzat Chimaev,U-DEC,U-DEC,5,5:00,Middleweight,1.0,0.0,1.0,0.0,0.0,190.5,Orthodox,1994-05-01,4.04,60.0,2.32,43.0,5.29,55.0,85.0,4.04,193.04,Switch,1994-01-14,5.18,48.0,4.33,52.0,2.22,51.0,34.0,5.18
Lerone Murphy,Aaron Pico,1,0,8,13,0,2,1,0,UFC 319: Du Plessis vs. Chimaev,"August 16, 2025","Chicago, Illinois, USA",WIN,Lerone Murphy,KO/TKOSpinning,KO/TKOSpinning Back Elbow,1,3:21,Featherweight,0.0,0.0,1.0,0.0,0.0,185.42,Orthodox,1991-07-22,4.48,53.0,2.51,61.0,1.41,54.0,51.0,4.48,177.8,Orthodox,1996-09-23,3.88,44.0,2.39,50.0,8.96,66.0,0.0,3.88
Carlos Prates,Geoff Neal,1,0,32,25,0,0,0,0,UFC 319: Du Plessis vs. Chimaev,"August 16, 2025","Chicago, Illinois, USA",WIN,Carlos Prates,KO/TKOSpinning,KO/TKOSpinning Back Elbow,1,4:59,Welterweight,0.0,0.0,1.0,0.0,0.0,198.12,Switch,1993-08-17,3.82,54.0,4.8,48.0,0.23,100.0,84.0,3.82,190.5,Southpaw,1990-08-28,5.05,51.0,5.48,57.0,0.54,45.0,87.0,5.05
Michael Page,Jared Cannonier,0,0,29,20,0,2,0,0,UFC 319: Du Plessis vs. Chimaev,"August 16, 2025","Chicago, Illinois, USA",WIN,Michael Page,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0,200.66,Switch,1987-04-07,2.39,60.0,1.68,57.0,0.23,16.0,66.0,2.39,195.58,Switch,1984-03-16,4.42,49.0,4.35,56.0,0.54,40.0,64.0,4.42
Kai Asakura,Tim Elliott,0,0,21,27,0,2,0,2,UFC 319: Du Plessis vs. Chimaev,"August 16, 2025","Chicago, Illinois, USA",WIN,Tim Elliott,SUBGuillotine,SUBGuillotine Choke,2,4:39,Flyweight,0.0,0.0,1.0,0.0,0.0,175.26,Orthodox,1993-10-31,2.27,32.0,3.53,52.0,0.0,0.0,50.0,2.27,167.64,Southpaw,1986-12-24,3.37,44.0,2.65,57.0,3.71,47.0,59.0,3.37
Baisangur Susurkaev,Eric Nolan,0,0,36,22,2,0,1,0,UFC 319: Du Plessis vs. Chimaev,"August 16, 2025","Chicago, Illinois, USA",WIN,Baisangur Susurkaev,SUBRear,SUBRear Naked Choke,2,2:01,Middleweight,0.0,0.0,0.0,0.0,0.0,200.66,Orthodox,2001-01-08,4.56,58.0,2.88,57.0,2.98,28.0,100.0,4.56,187.96,Orthodox,1997-09-13,3.14,39.0,5.13,41.0,0.0,0.0,71.0,3.14
Gerald Meerschaert,Michal Oleksiejczuk,0,1,3,23,0,0,0,0,UFC 319: Du Plessis vs. Chimaev,"August 16, 2025","Chicago, Illinois, USA",WIN,Michal Oleksiejczuk,KO/TKOPunches,KO/TKOPunches,1,3:03,Middleweight,0.0,0.0,0.0,0.0,0.0,195.58,Southpaw,1987-12-18,3.02,45.0,3.49,53.0,1.83,30.0,42.0,3.02,187.96,Southpaw,1995-02-22,5.34,51.0,4.41,59.0,1.02,43.0,52.0,5.34
Jessica Andrade,Loopy Godinez,0,0,90,107,0,1,0,0,UFC 319: Du Plessis vs. Chimaev,"August 16, 2025","Chicago, Illinois, USA",WIN,Loopy Godinez,U-DEC,U-DEC,3,5:00,Women's Strawweight,0.0,0.0,0.0,0.0,0.0,157.48,Orthodox,1991-09-25,6.37,48.0,5.58,54.0,2.1,54.0,75.0,6.37,154.94,Orthodox,1993-09-06,4.51,49.0,4.03,62.0,2.96,41.0,81.0,4.51
Chase Hooper,Alexander Hernandez,0,1,20,17,0,0,0,0,UFC 319: Du Plessis vs. Chimaev,"August 16, 2025","Chicago, Illinois, USA",WIN,Alexander Hernandez,KO/TKOPunch,KO/TKOPunch,1,4:58,Lightweight,0.0,0.0,0.0,0.0,0.0,187.96,Southpaw,1999-09-13,4.51,49.0,2.98,39.0,2.49,33.0,55.0,4.51,182.88,Orthodox,1992-10-01,4.31,40.0,4.5,59.0,1.14,36.0,73.0,4.31
